Product_ID,Product_Type,Material,Color,Sales_Data,Return_Rate,Production_Data,Season,Gender,Season_Demand_Spike,Date,Age,Customer_Feedback
P0277,Sweatpants,Spandex,Green,286,0.22,364,Winter,Unisex,1.49,2024-02-29,7,The color is vibrant and attractive.
P0209,Hoodie,Cotton,Pink,380,0.02,420,Summer,Female,1.08,2023-08-11,9,The fabric is soft and comfortable.
P0186,T-Shirt,Polyester,Pink,116,0.07,210,Spring,Female,1.04,2023-03-04,10,Loved the design and comfort.
P0233,T-Shirt,Fleece,Red,441,0.3,591,Winter,Female,1.26,2023-02-21,10,The fabric is soft and comfortable.
P0290,Jacket,Cotton,White,302,0.34,327,Summer,Male,1.2,2024-08-23,14,The product arrived damaged.
P0169,Dress,Fleece,Red,79,0.31,232,Fall,Male,1.49,2023-10-11,10,Nice design but size mismatch was an issue.
P0129,Dress,Fleece,Blue,66,0.33,164,Fall,Male,1.27,2024-11-07,12,Feels breathable and light.
P0122,Leggings,Polyester,Red,177,0.27,266,Summer,Female,1.48,2023-06-28,6,Excellent stitching and finish.
P0216,Leggings,Cotton,Blue,279,0.09,318,Spring,Female,1.12,2024-05-02,3,Fabric feels rough and uncomfortable.
P0056,Sweatpants,Spandex,White,94,0.27,151,Fall,Male,1.29,2024-09-21,13,Zipper broke after one use.
P0267,Hoodie,Wool,Red,337,0.2,517,Spring,Female,1.18,2023-03-04,10,Size runs smaller than expected.
P0056,Sweatpants,Wool,Blue,14,0.2,171,Spring,Female,1.49,2023-03-24,15,"It's okay, nothing special."
P0065,Hoodie,Spandex,Pink,172,0.29,256,Winter,Unisex,1.07,2024-01-26,11,The color is vibrant and attractive.
P0259,Leggings,Wool,Blue,387,0.06,549,Winter,Male,1.24,2024-12-19,9,Zipper broke after one use.
P0283,Shorts,Fleece,Yellow,98,0.06,186,Spring,Male,1.42,2024-04-07,14,My kid loves wearing this every day.
P0233,Sweatpants,Wool,Blue,338,0.33,494,Fall,Female,1.1,2023-11-17,5,Feels breathable and light.
P0192,Jacket,Wool,Blue,39,0.33,122,Spring,Male,1.29,2023-04-04,15,Loved the design and comfort.
P0191,Dress,Fleece,Red,332,0.29,365,Summer,Unisex,1.4,2024-08-23,5,Decent but could be better.
P0063,Sweatpants,Polyester,Yellow,217,0.08,319,Winter,Female,1.33,2023-02-22,12,Average quality for the price.
P0054,Leggings,Spandex,White,85,0.14,146,Summer,Unisex,1.2,2023-06-08,10,My kid loves wearing this every day.
P0056,Hoodie,Spandex,Pink,332,0.16,365,Spring,Female,1.45,2023-04-28,15,Average quality for the price.
P0288,Dress,Spandex,Red,27,0.16,199,Fall,Unisex,1.18,2024-09-15,9,Color fades after a few washes.
P0015,Jacket,Polyester,Black,313,0.32,511,Winter,Female,1.27,2023-12-14,8,My kid loves wearing this every day.
P0074,Leggings,Wool,Blue,138,0.13,336,Spring,Unisex,1.17,2023-05-26,6,"It's okay, nothing special."
P0047,Shorts,Spandex,White,19,0.31,71,Winter,Female,1.27,2024-01-21,9,The fabric is soft and comfortable.
P0190,Hoodie,Polyester,Blue,161,0.07,277,Winter,Male,1.35,2023-02-23,13,Perfect fit and great quality.
P0026,Shorts,Cotton,Black,293,0.03,398,Spring,Unisex,1.36,2024-03-29,7,Perfect fit and great quality.
P0227,Sweatpants,Polyester,White,127,0.27,264,Summer,Male,1.41,2024-06-08,6,Loved the design and comfort.
P0146,Shorts,Spandex,Grey,286,0.22,320,Summer,Unisex,1.4,2024-06-23,7,The fabric is soft and comfortable.
P0203,Leggings,Cotton,Red,209,0.1,304,Summer,Female,1.39,2023-07-29,13,Great color but the stitching could be better.
P0131,Hoodie,Polyester,Blue,99,0.22,282,Winter,Female,1.27,2023-01-08,13,The product arrived damaged.
P0067,Sweatpants,Spandex,White,287,0.13,317,Spring,Unisex,1.48,2024-05-27,10,Color fades after a few washes.
P0037,Sweatpants,Cotton,Yellow,42,0.1,84,Winter,Female,1.23,2023-01-20,13,"Comfortable fabric, however the color fades quickly."
P0295,Sweatpants,Spandex,Yellow,222,0.21,352,Winter,Unisex,1.36,2024-12-27,13,Loved the design and comfort.
P0208,T-Shirt,Polyester,Green,328,0.28,384,Fall,Female,1.35,2024-09-24,12,Color fades after a few washes.
P0046,Sweatpants,Cotton,White,96,0.14,252,Spring,Unisex,1.21,2024-03-22,15,Loved the design and comfort.
P0203,Dress,Polyester,Pink,300,0.3,330,Summer,Female,1.23,2023-08-15,7,The stitching quality could be better.
P0262,Shorts,Cotton,White,114,0.08,190,Winter,Female,1.17,2023-12-24,8,Zipper broke after one use.
P0076,Jacket,Cotton,Green,59,0.1,221,Fall,Male,1.2,2023-09-20,11,The fabric is soft and comfortable.
P0039,Jacket,Wool,Grey,313,0.13,512,Summer,Unisex,1.39,2024-07-31,12,Perfect fit and great quality.
P0166,Dress,Polyester,Green,295,0.15,339,Spring,Male,1.43,2024-03-26,8,Excellent stitching and finish.
P0156,Dress,Polyester,Red,214,0.18,324,Winter,Unisex,1.23,2023-12-27,13,The color is vibrant and attractive.
P0232,T-Shirt,Cotton,Pink,255,0.07,426,Fall,Male,1.29,2023-10-21,6,"It's okay, nothing special."
P0260,Sweatpants,Wool,Red,202,0.03,382,Spring,Unisex,1.18,2024-04-05,13,Average quality for the price.
P0244,Leggings,Fleece,Red,154,0.09,287,Spring,Male,1.33,2024-04-06,9,Color fades after a few washes.
P0044,Leggings,Fleece,Red,341,0.34,537,Fall,Unisex,1.28,2023-09-11,8,The color is vibrant and attractive.
P0269,Leggings,Spandex,Green,67,0.35,135,Winter,Female,1.15,2024-01-08,15,"Comfortable fabric, however the color fades quickly."
P0210,Dress,Polyester,Red,219,0.16,300,Fall,Unisex,1.1,2024-10-08,15,Feels breathable and light.
P0049,Leggings,Wool,Black,309,0.03,358,Fall,Unisex,1.42,2023-09-16,5,Fabric feels rough and uncomfortable.
P0077,Hoodie,Cotton,Green,22,0.12,156,Winter,Female,1.23,2023-12-25,4,Nice design but size mismatch was an issue.
P0201,Jacket,Spandex,Blue,117,0.15,302,Fall,Unisex,1.38,2023-11-14,6,My kid loves wearing this every day.
P0169,Dress,Fleece,Blue,268,0.3,390,Fall,Unisex,1.38,2024-10-23,12,Feels breathable and light.
P0010,Hoodie,Polyester,Green,166,0.15,272,Summer,Female,1.49,2023-08-08,4,"Comfortable fabric, however the color fades quickly."
P0099,Jacket,Fleece,Green,12,0.03,98,Spring,Female,1.12,2023-03-21,13,The stitching quality could be better.
P0260,Dress,Spandex,Red,259,0.03,332,Fall,Female,1.17,2024-11-08,7,Fabric feels rough and uncomfortable.
P0068,Leggings,Wool,Green,71,0.31,182,Summer,Male,1.12,2023-06-16,4,Fabric feels rough and uncomfortable.
P0085,Shorts,Wool,Red,413,0.1,510,Winter,Female,1.3,2024-02-25,13,"It's okay, nothing special."
P0228,Leggings,Polyester,Grey,169,0.07,330,Summer,Unisex,1.15,2023-08-28,4,My kid loves wearing this every day.
P0241,Dress,Fleece,Pink,11,0.23,191,Fall,Unisex,1.1,2024-11-25,5,"Comfortable fabric, however the color fades quickly."
P0145,Dress,Wool,Yellow,116,0.08,171,Summer,Male,1.32,2023-06-15,4,The product arrived damaged.
P0129,T-Shirt,Wool,Pink,6,0.32,173,Summer,Male,1.17,2024-07-21,4,Fabric feels rough and uncomfortable.
P0064,Hoodie,Cotton,Green,199,0.21,358,Fall,Female,1.42,2023-10-07,7,Great color but the stitching could be better.
P0224,T-Shirt,Fleece,Grey,364,0.2,436,Winter,Male,1.15,2023-12-24,6,The color is vibrant and attractive.
P0258,Hoodie,Fleece,Yellow,346,0.28,446,Spring,Female,1.43,2023-03-25,10,Feels breathable and light.
P0051,Dress,Polyester,Green,63,0.32,210,Spring,Male,1.09,2023-05-21,4,My kid loves wearing this every day.
P0242,Shorts,Fleece,Grey,119,0.19,147,Spring,Unisex,1.27,2024-04-04,15,Loved the design and comfort.
P0010,Hoodie,Fleece,Green,285,0.11,326,Summer,Unisex,1.42,2024-07-15,6,Average quality for the price.
P0057,Dress,Polyester,White,158,0.19,286,Fall,Male,1.35,2023-11-05,7,The color is vibrant and attractive.
P0235,T-Shirt,Cotton,Grey,79,0.29,226,Fall,Unisex,1.06,2024-09-03,6,Perfect fit and great quality.
P0295,Jacket,Fleece,Black,45,0.11,81,Spring,Male,1.2,2024-03-15,8,"It's okay, nothing special."
P0293,Sweatpants,Fleece,Blue,80,0.09,205,Summer,Female,1.07,2024-06-20,13,Perfect fit and great quality.
P0279,Leggings,Spandex,Red,317,0.11,504,Winter,Female,1.13,2024-02-04,15,The color is vibrant and attractive.
P0192,Hoodie,Cotton,Pink,313,0.08,505,Spring,Female,1.42,2023-03-11,7,Excellent stitching and finish.
P0054,Dress,Spandex,Pink,194,0.19,277,Spring,Male,1.18,2023-05-17,8,Feels breathable and light.
